return_id,sales_id,return_date,return_amount,return_reason
1,10049,2022-12-17,12249.71342214667,Late Delivery
2,12840,2023-03-16,3215.7889914802986,Damaged
3,16523,2022-03-25,5289.898404867317,Other
4,14962,2023-07-06,8888.753919361856,Damaged
5,2678,2022-08-11,1920.9839029613074,Late Delivery
6,20958,2022-06-21,1456.06687254846,Damaged
7,13666,2022-10-13,4908.0686254507655,Late Delivery
8,4187,2023-09-30,15208.858265784529,Damaged
9,9038,2022-10-09,15137.685252001847,Late Delivery
10,4001,2022-12-03,1737.551794807595,Other
11,14249,2023-04-18,757.4724350098626,Late Delivery
12,16802,2023-05-07,622.4066725808336,Other
13,20350,2023-02-14,1281.8245467673362,Other
14,18925,2022-08-09,960.5469555371486,Other
15,4305,2023-10-15,4928.051649699912,Late Delivery
16,545,2023-03-20,2804.0869858918913,Damaged
17,11534,2023-11-24,5954.390086546168,Other
18,21932,2022-07-26,6992.053270574586,Damaged
19,25404,2023-08-07,12929.080885739228,Damaged
20,4110,2023-03-05,1970.3749639251116,Other
21,13732,2023-06-22,1031.434261826468,Late Delivery
22,15593,2023-04-04,5768.130501439267,Other
23,20044,2023-06-27,5454.416604251046,Damaged
24,17477,2023-02-16,6862.918099281757,Damaged
25,25737,2022-09-21,6457.786323087373,Other
26,10417,2023-06-21,7026.522090061081,Other
27,25462,2022-03-17,7048.5246089071225,Damaged
28,14140,2023-04-23,2564.972856641506,Other
29,22140,2023-05-14,4710.502987270363,Damaged
30,1921,2022-05-19,4068.64046748941,Late Delivery
31,6809,2023-06-08,1134.6198948377232,Other
32,26734,2023-11-23,2904.084580235383,Damaged
33,8273,2023-10-22,1152.6546774100757,Damaged
34,2992,2023-07-29,11089.002667471208,Late Delivery
35,5157,2023-11-14,1666.7445381522332,Other
36,18794,2022-02-26,11383.076236744711,Late Delivery
37,24939,2022-04-11,6715.150719653288,Late Delivery
38,5508,2022-03-21,1944.7309076998608,Damaged
39,28,2022-08-24,9607.903985333314,Damaged
40,9111,2023-05-12,1953.82187766374,Other
41,22502,2023-04-21,2356.045057509312,Other
42,9875,2023-04-22,9382.74679351841,Damaged
43,2217,2023-10-23,4527.139859562692,Damaged
44,21176,2023-06-04,4236.3131640478905,Late Delivery
45,7747,2022-05-30,1446.5436960902618,Other
46,2490,2022-01-07,1062.4904099815742,Late Delivery
47,22755,2023-10-11,6586.337540080885,Other
48,25127,2022-08-05,806.8616579260627,Damaged
49,4578,2022-04-09,1770.3149374214331,Late Delivery
50,21244,2024-01-16,8363.555393970206,Other
51,24635,2023-02-01,3728.100177207464,Other
52,12125,2022-07-27,14004.404123957753,Late Delivery
53,18909,2022-11-03,8394.1685669967,Late Delivery
54,3437,2023-03-12,17619.996952783677,Late Delivery
55,17612,2023-08-27,358.35508029054216,Damaged
56,10854,2023-11-02,10159.869997821163,Damaged
57,12035,2023-07-11,2270.0117979862935,Other
