sales_id,order_date,customer_id,product_id,region_id,quantity,unit_price,channel,sales_amount
1,2022-09-30,2378,67,4,4,1286,Online,5144
2,2022-06-10,1864,89,2,1,1241,Store,1241
3,2023-11-18,175,173,4,5,772,Online,3860
4,2022-11-04,1761,40,3,4,1455,Store,5820
5,2023-01-09,2363,166,4,5,3940,Store,19700
6,2022-01-09,3759,47,3,2,687,Store,1374
7,2023-03-20,3640,88,5,4,3469,Store,13876
8,2022-04-23,497,157,1,5,3901,Store,19505
9,2022-07-24,1293,162,2,5,1349,Store,6745
10,2023-02-09,428,139,5,5,4144,Online,20720
11,2023-11-29,35,20,4,5,2605,Online,13025
12,2022-07-16,2167,148,2,1,3559,Online,3559
13,2022-04-25,1395,56,1,4,1799,Online,7196
14,2022-05-01,2973,151,2,1,3796,Store,3796
15,2023-10-15,3640,100,3,5,4361,Online,21805
16,2022-03-06,3973,113,1,3,2095,Online,6285
17,2022-10-03,3523,88,5,4,964,Online,3856
18,2022-08-27,3381,104,3,1,1302,Store,1302
19,2022-10-29,1381,25,5,5,4822,Store,24110
20,2023-01-27,3448,33,2,5,3859,Online,19295
21,2023-06-06,2876,159,1,4,837,Online,3348
22,2023-01-04,3177,103,5,2,3687,Store,7374
23,2022-08-21,2438,79,1,4,2860,Online,11440
24,2022-07-14,176,129,2,1,4656,Store,4656
25,2022-01-12,2154,182,3,2,3837,Store,7674
26,2023-11-20,592,16,3,4,530,Online,2120
27,2022-06-26,1187,85,1,4,2822,Store,11288
28,2022-08-05,914,59,3,4,2467,Online,9868
29,2022-01-11,1291,194,1,3,827,Store,2481
30,2023-03-22,1587,125,2,4,1839,Store,7356
31,2023-09-22,3961,131,5,1,3268,Store,3268
32,2022-06-13,1303,143,2,5,889,Online,4445
33,2023-07-05,1327,32,5,1,3414,Store,3414
34,2022-02-22,3659,178,3,4,2328,Store,9312
35,2022-08-06,3003,111,2,2,933,Store,1866
36,2023-12-19,953,100,4,3,3833,Online,11499
37,2022-12-26,861,188,3,3,554,Online,1662
38,2023-01-20,2175,103,3,3,2505,Online,7515
39,2022-02-25,1270,116,1,2,4832,Store,9664
40,2022-04-28,2872,118,2,2,3417,Store,6834
41,2022-09-10,234,119,4,2,4820,Online,9640
42,2022-06-29,2715,136,4,2,4107,Store,8214
43,2023-02-19,3657,7,5,1,3298,Online,3298
44,2022-08-23,2979,132,1,5,1182,Online,5910
45,2023-12-09,1463,10,1,2,909,Store,1818
46,2022-03-21,2185,60,5,5,1759,Online,8795
47,2023-10-09,1810,25,1,4,3078,Store,12312
48,2022-01-22,2604,42,2,5,4503,Online,22515
49,2023-04-22,2807,47,5,4,561,Store,2244
50,2023-03-16,1173,96,2,3,2040,Online,6120
51,2023-07-24,56,114,1,4,3875,Store,15500
52,2022-04-03,3760,32,1,1,2958,Online,2958
53,2022-07-11,2404,74,1,4,3141,Online,12564
54,2022-04-13,3329,153,2,3,831,Online,2493
55,2023-01-31,2971,16,3,3,4409,Online,13227
56,2022-01-07,813,177,1,5,2990,Online,14950
57,2023-10-02,3135,144,1,5,3316,Online,16580
58,2023-07-21,1850,94,5,3,1175,Online,3525
59,2022-08-19,1960,166,5,4,655,Online,2620
60,2023-07-28,1087,5,5,4,4582,Online,18328
61,2022-08-28,806,7,4,2,1289,Store,2578
62,2022-03-31,3101,8,4,1,3230,Store,3230
63,2022-08-20,1576,33,2,4,3905,Store,15620
64,2023-04-02,3731,62,2,3,2930,Store,8790
65,2022-08-21,600,116,2,1,2815,Online,2815
66,2022-12-20,2616,160,5,5,2856,Online,14280
67,2022-11-29,3372,129,4,3,2821,Store,8463
68,2023-03-15,2753,91,5,3,762,Online,2286
69,2023-01-10,612,148,2,5,2393,Online,11965
